,admin_nm,addr_rd,addr_jb,purpose,cctv_cnt,pixel,direction,period,date_install,tel,lat,lon,date_make,offer_admin_cd,offer_admin_nm,x,y,dist
31746,전라북도 군산시,전라북도 군산시 삼화1길 7,전라북도 군산시 문화동 921,생활방범,1,200,360도 전방면,30,2015-06,063-454-7922,35.974252524899995,126.7063944261,2020-03-12,4670000,전라북도 군산시,126.7063812,35.9742544,1.2083162936599594
8454,서울특별시 노원구청,서울특별시 노원구 화랑로51길 17 솔밭근린공원,서울특별시 노원구 공릉동 111-1 (솔밭근린공원 -1),시설물관리,1,200,회전,30,2015-09,02-2116-3952,37.6227203,127.0881706,2019-04-08,3100000,서울특별시 노원구,127.0885535,37.6239886,145.0044889835608
43019,경상북도 영덕군청,경상북도 영덕군 영덕읍 우곡리 609,경상북도 영덕군 영덕읍 우곡리 609,생활방범,1,200,단방향,30,2016-06,054-730-6300,36.408073,129.373656,2019-09-17,5180000,경상북도 영덕군,129.3741981,36.4079271,51.15385189025209
12573,울산광역시 동구청,울산광역시 동구 진성9길 2,울산광역시 동구 일산동 456-9,생활방범,1,200,대송로 10 방향,30,2017-08,052-209-3145,35.50450575,129.4285256,2020-10-30,3710000,울산광역시 동구,129.4285288,35.5045087,0.43761513347072556
25390,부산광역시 수영구청,부산광역시 수영구 장대골로27번길 29,부산광역시 수영구 광안동 735-11,생활방범,1,200,360도전방면,30,2015-11,051-610-4492,35.157911999999996,129.110367,2019-12-20,3380000,부산광역시 수영구,129.1103584,35.1579115,0.7837965271178713
41489,전라북도 전주시청,전라북도 전주시 완산구 안행2길 25,전라북도 전주시 완산구 삼천동1가 739,어린이보호,2,200,반경100m이내,30,2012-12,063-281-2072,35.80200928,127.12914920000001,2020-08-31,4640000,전라북도 전주시,127.1287244,35.8018315,43.10982473463993
11684,서울특별시 강북구청,서울특별시 강북구 삼양로139가길 43,서울특별시 강북구 우이동 73-23,생활방범,1,200,,30,2012-05,02-901-7266,37.65122986,127.0120926,2020-05-12,3080000,서울특별시 강북구,127.0120154,37.6511075,15.208931047570399
24365,안전관리과,경상북도 칠곡군 기산면 행정리 1180-1,경상북도 칠곡군 기산면 행정리 1180-1,차량방범,1,200,,30,2014-07,054-979-6881,35.969625,128.3630022,2018-08-22,5220000,경상북도 칠곡군,128.3630099,35.9696256,0.6961531333743871
29014,서울특별시 성동구청,서울특별시 성동구 자동차시장길 22,서울특별시 성동구 용답동 223-5,생활방범,3,200,360도전방면,30,2014-09,02-2286-5879,37.561981200000005,127.0572967,2020-12-04,3030000,서울특별시 성동구,127.056381,37.5611851,119.79526822050883
43993,서울특별시 금천구,서울특별시 금천구 독산로44길 51,서울특별시 금천구 시흥4동 793-6,다목적,4,200,360도방향,30,,02-2627-1903,37.465061,126.907546,2020-07-31,3170000,서울특별시 금천구,126.9075438,37.461831,359.160172916656
